Timestamp,RSSI,Activity
10010,-40,Jumping
10010,-34,Jumping
10018,-34,Jumping
10030,-40,Jumping
10030,-34,Jumping
10038,-34,Jumping
10050,-40,Jumping
10050,-34,Jumping
10058,-34,Jumping
10070,-40,Jumping
10070,-34,Jumping
10078,-34,Jumping
10090,-40,Jumping
10090,-34,Jumping
10098,-32,Jumping
10110,-37,Jumping
10118,-32,Jumping
10130,-37,Jumping
10138,-32,Jumping
10150,-37,Jumping
10158,-32,Jumping
10170,-37,Jumping
10178,-32,Jumping
10190,-37,Jumping
10198,-26,Jumping
10210,-37,Jumping
10218,-26,Jumping
10230,-37,Jumping
10238,-26,Jumping
10250,-37,Jumping
10258,-26,Jumping
10270,-37,Jumping
10278,-26,Jumping
10290,-37,Jumping
10298,-23,Jumping
10310,-37,Jumping
10310,-39,Jumping
10318,-23,Jumping
10330,-37,Jumping
10330,-39,Jumping
10338,-23,Jumping
10350,-37,Jumping
10350,-39,Jumping
10358,-23,Jumping
10370,-37,Jumping
10370,-39,Jumping
10378,-23,Jumping
10390,-37,Jumping
10390,-39,Jumping
10398,-33,Jumping
10410,-37,Jumping
10418,-33,Jumping
10430,-38,Jumping
10430,-37,Jumping
10438,-33,Jumping
10450,-38,Jumping
10450,-37,Jumping
10458,-33,Jumping
10470,-38,Jumping
10470,-37,Jumping
10478,-33,Jumping
10490,-38,Jumping
10490,-37,Jumping
10498,-32,Jumping
10510,-38,Jumping
10510,-37,Jumping
10518,-32,Jumping
10530,-37,Jumping
10530,-36,Jumping
10538,-32,Jumping
10550,-37,Jumping
10550,-36,Jumping
10558,-32,Jumping
10570,-37,Jumping
10570,-36,Jumping
10578,-32,Jumping
10590,-37,Jumping
10590,-36,Jumping
10598,-22,Jumping
10610,-37,Jumping
10610,-36,Jumping
10618,-22,Jumping
10630,-39,Jumping
10630,-34,Jumping
10638,-22,Jumping
10650,-39,Jumping
10650,-34,Jumping
10658,-22,Jumping
10670,-39,Jumping
10670,-34,Jumping
10678,-22,Jumping
10690,-39,Jumping
10690,-34,Jumping
10698,-25,Jumping
10710,-39,Jumping
10710,-34,Jumping
10718,-25,Jumping
10730,-37,Jumping
10730,-39,Jumping
10738,-25,Jumping
10750,-37,Jumping
10750,-39,Jumping
10758,-25,Jumping
10770,-37,Jumping
10770,-39,Jumping
10778,-25,Jumping
10790,-37,Jumping
10790,-39,Jumping
10798,-25,Jumping
10810,-37,Jumping
10810,-39,Jumping
10818,-26,Jumping
10830,-36,Jumping
10830,-40,Jumping
10838,-26,Jumping
10850,-36,Jumping
10850,-40,Jumping
10858,-26,Jumping
10870,-36,Jumping
10870,-40,Jumping
10878,-26,Jumping
10890,-36,Jumping
10890,-40,Jumping
10898,-26,Jumping
10910,-36,Jumping
10910,-40,Jumping
10918,-21,Jumping
10930,-39,Jumping
10930,-42,Jumping
10938,-21,Jumping
10950,-39,Jumping
10950,-42,Jumping
10958,-21,Jumping
10970,-39,Jumping
10970,-42,Jumping
10978,-21,Jumping
10990,-39,Jumping
10990,-42,Jumping
10998,-21,Jumping
11010,-39,Jumping
11010,-42,Jumping
11018,-31,Jumping
11030,-40,Jumping
11030,-41,Jumping
11038,-31,Jumping
11050,-40,Jumping
11050,-41,Jumping
11058,-31,Jumping
11070,-40,Jumping
11070,-41,Jumping
11078,-31,Jumping
11090,-40,Jumping
11090,-41,Jumping
11098,-31,Jumping
11110,-40,Jumping
11110,-41,Jumping
11118,-33,Jumping
11130,-40,Jumping
11130,-37,Jumping
11138,-33,Jumping
11150,-42,Jumping
11150,-37,Jumping
11158,-33,Jumping
11170,-42,Jumping
11170,-37,Jumping
11178,-33,Jumping
11190,-42,Jumping
11190,-37,Jumping
11198,-33,Jumping
11210,-42,Jumping
11210,-37,Jumping
11218,-26,Jumping
11230,-42,Jumping
11230,-37,Jumping
11238,-26,Jumping
11250,-37,Jumping
11258,-26,Jumping
11270,-37,Jumping
11278,-26,Jumping
11290,-37,Jumping
11298,-26,Jumping
11310,-37,Jumping
11318,-23,Jumping
11330,-37,Jumping
11338,-23,Jumping
11350,-38,Jumping
11350,-37,Jumping
11358,-23,Jumping
11370,-38,Jumping
11370,-37,Jumping
11378,-23,Jumping
11390,-38,Jumping
11390,-37,Jumping
11398,-23,Jumping
11410,-38,Jumping
11410,-37,Jumping
11418,-31,Jumping
11430,-38,Jumping
11430,-37,Jumping
11438,-31,Jumping
11450,-42,Jumping
11450,-36,Jumping
11458,-31,Jumping
11470,-42,Jumping
11470,-36,Jumping
11478,-31,Jumping
11490,-42,Jumping
11490,-36,Jumping
11498,-31,Jumping
11510,-42,Jumping
11510,-36,Jumping
11518,-25,Jumping
11530,-42,Jumping
11530,-36,Jumping
11538,-25,Jumping
11550,-42,Jumping
11550,-39,Jumping
11558,-25,Jumping
11570,-42,Jumping
11570,-39,Jumping
11578,-25,Jumping
11590,-42,Jumping
11590,-39,Jumping
11598,-25,Jumping
11610,-42,Jumping
11610,-39,Jumping
11618,-25,Jumping
11630,-42,Jumping
11630,-39,Jumping
11638,-23,Jumping
11650,-40,Jumping
11650,-34,Jumping
11658,-23,Jumping
11670,-40,Jumping
11670,-34,Jumping
11678,-23,Jumping
11690,-40,Jumping
11690,-34,Jumping
11698,-23,Jumping
11710,-40,Jumping
11710,-34,Jumping
11718,-23,Jumping
11730,-40,Jumping
11730,-34,Jumping
11738,-25,Jumping
11750,-37,Jumping
11750,-39,Jumping
11758,-25,Jumping
11770,-37,Jumping
11770,-39,Jumping
11778,-25,Jumping
11790,-37,Jumping
11790,-39,Jumping
11798,-25,Jumping
11810,-37,Jumping
11810,-39,Jumping
11818,-25,Jumping
11830,-37,Jumping
11830,-39,Jumping
11838,-28,Jumping
11850,-38,Jumping
11850,-36,Jumping
11858,-28,Jumping
11870,-38,Jumping
11870,-36,Jumping
11878,-28,Jumping
11890,-38,Jumping
11890,-36,Jumping
11898,-28,Jumping
11910,-38,Jumping
11910,-36,Jumping
11918,-28,Jumping
11930,-38,Jumping
11930,-36,Jumping
11938,-23,Jumping
11950,-42,Jumping
11950,-35,Jumping
11958,-23,Jumping
11970,-42,Jumping
11970,-35,Jumping
11978,-23,Jumping
11990,-42,Jumping
11990,-35,Jumping
11998,-23,Jumping
12010,-42,Jumping
12010,-35,Jumping
12018,-23,Jumping
12030,-42,Jumping
12030,-35,Jumping
12038,-38,Jumping
12050,-42,Jumping
12050,-37,Jumping
12058,-38,Jumping
12070,-37,Jumping
12078,-38,Jumping
12090,-37,Jumping
12098,-38,Jumping
12110,-37,Jumping
12118,-38,Jumping
12130,-37,Jumping
12138,-30,Jumping
12150,-37,Jumping
12158,-30,Jumping
12170,-38,Jumping
12170,-37,Jumping
12178,-30,Jumping
12190,-38,Jumping
12190,-37,Jumping
12198,-30,Jumping
12210,-38,Jumping
12210,-37,Jumping
12218,-30,Jumping
12230,-38,Jumping
12230,-37,Jumping
12238,-34,Jumping
12250,-38,Jumping
12250,-37,Jumping
12258,-34,Jumping
12270,-40,Jumping
12270,-37,Jumping
12278,-34,Jumping
12290,-40,Jumping
12290,-37,Jumping
12298,-34,Jumping
12310,-40,Jumping
12310,-37,Jumping
12318,-34,Jumping
12330,-40,Jumping
12330,-37,Jumping
12338,-26,Jumping
12350,-40,Jumping
12350,-37,Jumping
12358,-26,Jumping
12370,-38,Jumping
12370,-37,Jumping
12378,-26,Jumping
12390,-38,Jumping
12390,-37,Jumping
12398,-26,Jumping
12410,-38,Jumping
12410,-37,Jumping
12418,-26,Jumping
12430,-38,Jumping
12430,-37,Jumping
12438,-26,Jumping
12450,-38,Jumping
12450,-37,Jumping
12458,-29,Jumping
12470,-37,Jumping
12470,-39,Jumping
12478,-29,Jumping
12490,-37,Jumping
12490,-39,Jumping
12498,-29,Jumping
12510,-37,Jumping
12510,-39,Jumping
12518,-29,Jumping
12530,-37,Jumping
12530,-39,Jumping
12538,-29,Jumping
12550,-37,Jumping
12550,-39,Jumping
12558,-28,Jumping
12570,-40,Jumping
12570,-35,Jumping
12578,-28,Jumping
12590,-40,Jumping
12590,-35,Jumping
12598,-28,Jumping
12610,-40,Jumping
12610,-35,Jumping
12618,-28,Jumping
12630,-40,Jumping
12630,-35,Jumping
12638,-28,Jumping
12650,-40,Jumping
12650,-35,Jumping
12658,-34,Jumping
12670,-38,Jumping
12670,-41,Jumping
12678,-34,Jumping
12690,-38,Jumping
12690,-41,Jumping
12698,-34,Jumping
12710,-38,Jumping
12710,-41,Jumping
12718,-34,Jumping
12730,-38,Jumping
12730,-41,Jumping
12738,-34,Jumping
12750,-38,Jumping
12750,-41,Jumping
12758,-24,Jumping
12770,-43,Jumping
12770,-36,Jumping
12778,-24,Jumping
12790,-43,Jumping
12790,-36,Jumping
12798,-24,Jumping
12810,-43,Jumping
12810,-36,Jumping
12818,-24,Jumping
12830,-43,Jumping
12830,-36,Jumping
12838,-24,Jumping
12850,-43,Jumping
12850,-36,Jumping
12858,-28,Jumping
12870,-43,Jumping
12870,-37,Jumping
12878,-28,Jumping
12890,-40,Jumping
12890,-37,Jumping
12898,-28,Jumping
12910,-40,Jumping
12910,-37,Jumping
12918,-28,Jumping
12930,-40,Jumping
12930,-37,Jumping
12938,-28,Jumping
12950,-40,Jumping
12950,-37,Jumping
12958,-24,Jumping
12970,-40,Jumping
12970,-35,Jumping
12978,-24,Jumping
12990,-38,Jumping
12990,-35,Jumping
12998,-24,Jumping
13010,-38,Jumping
13010,-35,Jumping
13018,-24,Jumping
